ACTION,RESOURCE,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
1,39353,118300,123472,117905,117906,290919,117908
1,17183,118343,123125,118536,118536,308574,118539
1,36724,118220,117884,117879,267952,19721,117880
1,36135,118343,119993,118321,240983,290919,118322
1,42680,117930,119569,119323,123932,19793,119325
0,45333,117952,118008,118568,118568,19721,118570
1,25993,118343,123476,118980,301534,118295,118982
1,19666,117969,118910,126820,269034,118638,126822
1,31246,118413,120584,128230,302830,4673,128231
1,78766,118080,117878,117879,304519,19721,117880
1,4675,118413,118481,118784,117906,290919,118786
1,15030,118041,119238,119093,138522,119095,119096
1,79954,118463,122636,120773,123148,118960,120774
1,4675,118026,118202,119962,168365,118205,119964
1,95836,118343,118514,118321,117906,290919,118322
1,19484,118220,118221,117885,117886,117887,117888
1,114267,118052,119742,118321,117906,290919,118322
1,35197,118446,118701,118702,118703,118704,118705
1,86316,118343,123125,118278,132715,290919,118279
1,27785,118413,122007,118321,117906,290919,118322
1,37427,118300,118458,120006,303717,118424,120008
1,15672,118300,118783,117905,240983,290919,117908
1,92885,118300,119181,118777,279443,308574,118779
1,1020,118300,120410,118321,117906,290919,118322
1,4675,118052,118867,118259,117906,290919,118261
1,41334,118463,123089,118259,128796,290919,118261
1,77385,118052,119986,117905,117906,290919,117908
1,20273,118587,118846,179731,128361,117887,117973
1,78098,118091,117884,118568,165015,19721,118570
1,79328,118300,120312,120313,144958,118424,120315
1,23921,118343,119598,120344,310997,118424,120346
1,34687,118300,123719,117905,117906,290919,117908
1,43452,118041,119781,118563,121024,270488,118565
1,33248,118300,118825,118826,226343,118424,118828
1,78282,118343,122299,118054,121350,117887,118055
1,17183,119070,117945,280788,152940,292795,119082
1,38658,119135,118042,120097,174445,270488,120099
1,14354,118266,117884,118568,281735,19721,118570
1,45019,118327,118378,120952,120953,118453,120954
1,13878,118225,123173,120812,123174,118638,120814
1,14570,117930,117920,118568,281735,19721,118570
0,74310,118300,118301,119849,235245,118638,119851
1,6977,118300,120722,118784,130735,290919,118786
1,31613,118327,120318,118777,296252,308574,118779
1,1020,118052,119408,118777,279443,308574,118779
1,32270,118343,120347,120348,265969,118295,120350
1,19629,118413,118481,118784,240983,290919,118786
1,15702,118300,118066,120560,304465,118643,120562
1,113037,118343,119993,120773,118959,118960,120774
